Volatility 3 Framework 2.8.0

PID	Process	Value	Privilege	Attributes	Description
596	smss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
596	smss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
596	smss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
596	smss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
668	csrss.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
668	csrss.exe	2	SeCreateTokenPrivilege	Present	Create a token object
668	csrss.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
668	csrss.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
668	csrss.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
668	csrss.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
668	csrss.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
668	csrss.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
668	csrss.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
668	csrss.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
668	csrss.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
668	csrss.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
668	csrss.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
668	csrss.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
668	csrss.exe	17	SeBackupPrivilege	Present	Backup files and directories
668	csrss.exe	18	SeRestorePrivilege	Present	Restore files and directories
668	csrss.exe	19	SeShutdownPrivilege	Present	Shut down the system
668	csrss.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
668	csrss.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
668	csrss.exe	12	SeSystemtimePrivilege	Present	Change the system time
668	csrss.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
668	csrss.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
668	csrss.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
668	csrss.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
692	winlogon.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
692	winlogon.exe	2	SeCreateTokenPrivilege	Present	Create a token object
692	winlogon.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
692	winlogon.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
692	winlogon.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
692	winlogon.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
692	winlogon.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
692	winlogon.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
692	winlogon.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
692	winlogon.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
692	winlogon.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
692	winlogon.exe	8	SeSecurityPrivilege	Present,Enabled	Manage auditing and security log
692	winlogon.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
692	winlogon.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
692	winlogon.exe	17	SeBackupPrivilege	Present	Backup files and directories
692	winlogon.exe	18	SeRestorePrivilege	Present	Restore files and directories
692	winlogon.exe	19	SeShutdownPrivilege	Present	Shut down the system
692	winlogon.exe	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
692	winlogon.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
692	winlogon.exe	12	SeSystemtimePrivilege	Present	Change the system time
692	winlogon.exe	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
692	winlogon.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
692	winlogon.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
692	winlogon.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
744	services.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
744	services.exe	2	SeCreateTokenPrivilege	Present	Create a token object
744	services.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
744	services.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
744	services.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
744	services.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
744	services.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
744	services.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
744	services.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
744	services.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
744	services.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
744	services.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
744	services.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
744	services.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
744	services.exe	17	SeBackupPrivilege	Present	Backup files and directories
744	services.exe	18	SeRestorePrivilege	Present	Restore files and directories
744	services.exe	19	SeShutdownPrivilege	Present	Shut down the system
744	services.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
744	services.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
744	services.exe	12	SeSystemtimePrivilege	Present	Change the system time
744	services.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
744	services.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
744	services.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
744	services.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
756	lsass.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
756	lsass.exe	2	SeCreateTokenPrivilege	Present,Enabled	Create a token object
756	lsass.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
756	lsass.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
756	lsass.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
756	lsass.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
756	lsass.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
756	lsass.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
756	lsass.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
756	lsass.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
756	lsass.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
756	lsass.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
756	lsass.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
756	lsass.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
756	lsass.exe	17	SeBackupPrivilege	Present	Backup files and directories
756	lsass.exe	18	SeRestorePrivilege	Present	Restore files and directories
756	lsass.exe	19	SeShutdownPrivilege	Present	Shut down the system
756	lsass.exe	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
756	lsass.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
756	lsass.exe	12	SeSystemtimePrivilege	Present	Change the system time
756	lsass.exe	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
756	lsass.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
756	lsass.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
756	lsass.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
912	svchost.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
912	svchost.exe	2	SeCreateTokenPrivilege	Present	Create a token object
912	svchost.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
912	svchost.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
912	svchost.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
912	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
912	svchost.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
912	svchost.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
912	svchost.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
912	svchost.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
912	svchost.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
912	svchost.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
912	svchost.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
912	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
912	svchost.exe	17	SeBackupPrivilege	Present	Backup files and directories
912	svchost.exe	18	SeRestorePrivilege	Present	Restore files and directories
912	svchost.exe	19	SeShutdownPrivilege	Present	Shut down the system
912	svchost.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
912	svchost.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
912	svchost.exe	12	SeSystemtimePrivilege	Present	Change the system time
912	svchost.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
912	svchost.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
912	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
912	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
992	svchost.exe	21	SeAuditPrivilege	Present	Generate security audits
992	svchost.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
992	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
992	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
992	svchost.exe	19	SeShutdownPrivilege	Present	Shut down the system
992	svchost.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
992	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
992	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1084	svchost.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
1084	svchost.exe	2	SeCreateTokenPrivilege	Present,Enabled	Create a token object
1084	svchost.exe	9	SeTakeOwnershipPrivilege	Present,Enabled	Take ownership of files/objects
1084	svchost.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
1084	svchost.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
1084	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present,Enabled	Replace a process-level token
1084	svchost.exe	5	SeIncreaseQuotaPrivilege	Present,Enabled	Increase quotas
1084	svchost.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
1084	svchost.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
1084	svchost.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
1084	svchost.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
1084	svchost.exe	8	SeSecurityPrivilege	Present,Enabled	Manage auditing and security log
1084	svchost.exe	22	SeSystemEnvironmentPrivilege	Present,Enabled	Edit firmware environment values
1084	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1084	svchost.exe	17	SeBackupPrivilege	Present,Enabled	Backup files and directories
1084	svchost.exe	18	SeRestorePrivilege	Present,Enabled	Restore files and directories
1084	svchost.exe	19	SeShutdownPrivilege	Present,Enabled	Shut down the system
1084	svchost.exe	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
1084	svchost.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
1084	svchost.exe	12	SeSystemtimePrivilege	Present,Enabled	Change the system time
1084	svchost.exe	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
1084	svchost.exe	28	SeManageVolumePrivilege	Present,Enabled	Manage the files on a volume
1084	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1084	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1140	svchost.exe	21	SeAuditPrivilege	Present	Generate security audits
1140	svchost.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1140	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
1140	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1140	svchost.exe	19	SeShutdownPrivilege	Present	Shut down the system
1140	svchost.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
1140	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1140	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1192	svchost.exe	21	SeAuditPrivilege	Present	Generate security audits
1192	svchost.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1192	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
1192	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1192	svchost.exe	19	SeShutdownPrivilege	Present	Shut down the system
1192	svchost.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
1192	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1192	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1436	iscsiexe.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
1436	iscsiexe.exe	2	SeCreateTokenPrivilege	Present	Create a token object
1436	iscsiexe.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
1436	iscsiexe.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
1436	iscsiexe.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
1436	iscsiexe.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
1436	iscsiexe.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1436	iscsiexe.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
1436	iscsiexe.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
1436	iscsiexe.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
1436	iscsiexe.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
1436	iscsiexe.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
1436	iscsiexe.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
1436	iscsiexe.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1436	iscsiexe.exe	17	SeBackupPrivilege	Present	Backup files and directories
1436	iscsiexe.exe	18	SeRestorePrivilege	Present	Restore files and directories
1436	iscsiexe.exe	19	SeShutdownPrivilege	Present	Shut down the system
1436	iscsiexe.exe	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
1436	iscsiexe.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
1436	iscsiexe.exe	12	SeSystemtimePrivilege	Present	Change the system time
1436	iscsiexe.exe	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
1436	iscsiexe.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
1436	iscsiexe.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1436	iscsiexe.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1616	spoolsv.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
1616	spoolsv.exe	2	SeCreateTokenPrivilege	Present	Create a token object
1616	spoolsv.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
1616	spoolsv.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
1616	spoolsv.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
1616	spoolsv.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
1616	spoolsv.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1616	spoolsv.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
1616	spoolsv.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
1616	spoolsv.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
1616	spoolsv.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
1616	spoolsv.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
1616	spoolsv.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
1616	spoolsv.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1616	spoolsv.exe	17	SeBackupPrivilege	Present	Backup files and directories
1616	spoolsv.exe	18	SeRestorePrivilege	Present	Restore files and directories
1616	spoolsv.exe	19	SeShutdownPrivilege	Present	Shut down the system
1616	spoolsv.exe	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
1616	spoolsv.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
1616	spoolsv.exe	12	SeSystemtimePrivilege	Present	Change the system time
1616	spoolsv.exe	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
1616	spoolsv.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
1616	spoolsv.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1616	spoolsv.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1752	explorer.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1752	explorer.exe	8	SeSecurityPrivilege	Present,Enabled	Manage auditing and security log
1752	explorer.exe	17	SeBackupPrivilege	Present	Backup files and directories
1752	explorer.exe	18	SeRestorePrivilege	Present	Restore files and directories
1752	explorer.exe	12	SeSystemtimePrivilege	Present	Change the system time
1752	explorer.exe	19	SeShutdownPrivilege	Present	Shut down the system
1752	explorer.exe	24	SeRemoteShutdownPrivilege	Present	Force shutdown from a remote system
1752	explorer.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
1752	explorer.exe	20	SeDebugPrivilege	Present	Debug programs
1752	explorer.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
1752	explorer.exe	11	SeSystemProfilePrivilege	Present	Profile system performance
1752	explorer.exe	13	SeProfileSingleProcessPrivilege	Present	Profile a single process
1752	explorer.exe	14	SeIncreaseBasePriorityPrivilege	Present	Increase scheduling priority
1752	explorer.exe	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
1752	explorer.exe	15	SeCreatePagefilePrivilege	Present	Create a pagefile
1752	explorer.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1752	explorer.exe	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
1752	explorer.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
1752	explorer.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1752	explorer.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1900	SharedIntApp.ex	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1900	SharedIntApp.ex	8	SeSecurityPrivilege	Present	Manage auditing and security log
1900	SharedIntApp.ex	17	SeBackupPrivilege	Present	Backup files and directories
1900	SharedIntApp.ex	18	SeRestorePrivilege	Present	Restore files and directories
1900	SharedIntApp.ex	12	SeSystemtimePrivilege	Present	Change the system time
1900	SharedIntApp.ex	19	SeShutdownPrivilege	Present	Shut down the system
1900	SharedIntApp.ex	24	SeRemoteShutdownPrivilege	Present	Force shutdown from a remote system
1900	SharedIntApp.ex	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
1900	SharedIntApp.ex	20	SeDebugPrivilege	Present	Debug programs
1900	SharedIntApp.ex	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
1900	SharedIntApp.ex	11	SeSystemProfilePrivilege	Present	Profile system performance
1900	SharedIntApp.ex	13	SeProfileSingleProcessPrivilege	Present	Profile a single process
1900	SharedIntApp.ex	14	SeIncreaseBasePriorityPrivilege	Present	Increase scheduling priority
1900	SharedIntApp.ex	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
1900	SharedIntApp.ex	15	SeCreatePagefilePrivilege	Present	Create a pagefile
1900	SharedIntApp.ex	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1900	SharedIntApp.ex	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
1900	SharedIntApp.ex	28	SeManageVolumePrivilege	Present	Manage the files on a volume
1900	SharedIntApp.ex	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1900	SharedIntApp.ex	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1908	prl_cc.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1908	prl_cc.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
1908	prl_cc.exe	17	SeBackupPrivilege	Present	Backup files and directories
1908	prl_cc.exe	18	SeRestorePrivilege	Present	Restore files and directories
1908	prl_cc.exe	12	SeSystemtimePrivilege	Present	Change the system time
1908	prl_cc.exe	19	SeShutdownPrivilege	Present	Shut down the system
1908	prl_cc.exe	24	SeRemoteShutdownPrivilege	Present	Force shutdown from a remote system
1908	prl_cc.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
1908	prl_cc.exe	20	SeDebugPrivilege	Present	Debug programs
1908	prl_cc.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
1908	prl_cc.exe	11	SeSystemProfilePrivilege	Present	Profile system performance
1908	prl_cc.exe	13	SeProfileSingleProcessPrivilege	Present	Profile a single process
1908	prl_cc.exe	14	SeIncreaseBasePriorityPrivilege	Present	Increase scheduling priority
1908	prl_cc.exe	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
1908	prl_cc.exe	15	SeCreatePagefilePrivilege	Present	Create a pagefile
1908	prl_cc.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1908	prl_cc.exe	25	SeUndockPrivilege	Present,Enabled	Remove computer from docking station
1908	prl_cc.exe	28	SeManageVolumePrivilege	Present	Manage the files on a volume
1908	prl_cc.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1908	prl_cc.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1936	jusched.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1936	jusched.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
1936	jusched.exe	17	SeBackupPrivilege	Present	Backup files and directories
1936	jusched.exe	18	SeRestorePrivilege	Present	Restore files and directories
1936	jusched.exe	12	SeSystemtimePrivilege	Present	Change the system time
1936	jusched.exe	19	SeShutdownPrivilege	Present	Shut down the system
1936	jusched.exe	24	SeRemoteShutdownPrivilege	Present	Force shutdown from a remote system
1936	jusched.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
1936	jusched.exe	20	SeDebugPrivilege	Present	Debug programs
1936	jusched.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
1936	jusched.exe	11	SeSystemProfilePrivilege	Present	Profile system performance
1936	jusched.exe	13	SeProfileSingleProcessPrivilege	Present	Profile a single process
1936	jusched.exe	14	SeIncreaseBasePriorityPrivilege	Present	Increase scheduling priority
1936	jusched.exe	10	SeLoadDriverPrivilege	Present,Enabled	Load and unload device drivers
