Volatility 3 Framework 2.8.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name
4	System	0x8200a5b0	0x648	File	0x12019f	\Device\Tcp
4	System	0x8200a6e8	0x64c	File	0x12019f	\Device\Tcp
4	System	0x8200a820	0x650	File	0x12019f	\Device\Tcp
4	System	0x8200a958	0x654	File	0x12019f	\Device\Tcp
4	System	0x81f35338	0x658	File	0x12019f	\Device\Tcp
4	System	0x81f35470	0x65c	File	0x12019f	\Device\Tcp
4	System	0x81f355a8	0x660	File	0x12019f	\Device\Tcp
4	System	0x81f356e0	0x664	File	0x12019f	\Device\Tcp
4	System	0x81f35818	0x668	File	0x12019f	\Device\Tcp
4	System	0x8200d3c8	0x66c	File	0x12019f	\Device\Tcp
4	System	0x8200d500	0x670	File	0x12019f	\Device\Tcp
4	System	0x8200d638	0x674	File	0x12019f	\Device\Tcp
4	System	0x8200d770	0x678	File	0x12019f	\Device\Tcp
4	System	0x81eae360	0x67c	File	0x12019f	\Device\Tcp
4	System	0x81eae498	0x680	File	0x12019f	\Device\Tcp
4	System	0x81eae5d0	0x684	File	0x12019f	\Device\Tcp
4	System	0x81eae708	0x688	File	0x12019f	\Device\Tcp
4	System	0x81eae840	0x68c	File	0x12019f	\Device\Tcp
4	System	0x81e7cc88	0x690	File	0x12019f	\Device\Tcp
4	System	0x81e7cdc0	0x694	File	0x12019f	\Device\Tcp
4	System	0x81e7ce58	0x698	File	0x12019f	\Device\Tcp
4	System	0x81e7cf90	0x69c	File	0x12019f	\Device\Tcp
4	System	0x8215a878	0x6a0	File	0x12019f	\Device\Tcp
4	System	0x8215a9b0	0x6a4	File	0x12019f	\Device\Tcp
4	System	0x81e7e690	0x6a8	File	0x12019f	\Device\Tcp
4	System	0x81e7e7c8	0x6ac	File	0x12019f	\Device\Tcp
4	System	0x821b58b0	0x6b0	File	0x12019f	\Device\Tcp
4	System	0x821b59e8	0x6b4	File	0x12019f	\Device\Tcp
4	System	0x8208f6c0	0x6b8	File	0x12019f	\Device\Tcp
4	System	0x8208f7f8	0x6bc	File	0x12019f	\Device\Tcp
4	System	0x81e88968	0x6c0	File	0x12019f	\Device\Tcp
4	System	0x81e88aa0	0x6c4	File	0x12019f	\Device\Tcp
4	System	0x8223f3e0	0x6c8	File	0x12019f	\Device\Tcp
4	System	0x8223f518	0x6cc	File	0x12019f	\Device\Tcp
4	System	0x81f05680	0x6d0	File	0x12019f	\Device\Tcp
4	System	0x81eace58	0x6d4	File	0x12019f	\Device\Tcp
4	System	0x81eacf90	0x6d8	File	0x12019f	\Device\Tcp
4	System	0x82067ef0	0x6dc	File	0x12019f	\Device\Tcp
4	System	0x82010d40	0x6e0	File	0x12019f	\Device\Tcp
4	System	0x82010e78	0x6e4	File	0x12019f	\Device\Tcp
4	System	0x82004ae0	0x6e8	File	0x12019f	\Device\Tcp
4	System	0x81f102f8	0x6ec	File	0x12019f	\Device\Tcp
4	System	0x81f10430	0x6f0	File	0x12019f	\Device\Tcp
4	System	0x8200c790	0x6f4	File	0x12019f	\Device\Tcp
4	System	0x8200c828	0x6f8	File	0x12019f	\Device\Tcp
4	System	0x8212c9d0	0x6fc	File	0x12019f	\Device\Tcp
4	System	0x8212ca68	0x700	File	0x12019f	\Device\Tcp
4	System	0x821e6d40	0x704	File	0x12019f	\Device\Tcp
4	System	0x821e6dd8	0x708	File	0x12019f	\Device\Tcp
4	System	0x8216bab8	0x70c	File	0x12019f	\Device\Tcp
4	System	0x8216bb50	0x710	File	0x12019f	\Device\Tcp
4	System	0x8206bcc8	0x714	File	0x12019f	\Device\Tcp
4	System	0x8206bd60	0x718	File	0x12019f	\Device\Tcp
4	System	0x8206c618	0x71c	File	0x12019f	\Device\Tcp
4	System	0x8206c6b0	0x720	File	0x12019f	\Device\Tcp
4	System	0x8215bd10	0x724	File	0x12019f	\Device\Tcp
4	System	0x8215bda8	0x728	File	0x12019f	\Device\Tcp
4	System	0x8227b998	0x72c	File	0x12019f	\Device\Tcp
4	System	0x8227ba30	0x730	File	0x12019f	\Device\Tcp
4	System	0x822566c8	0x734	File	0x12019f	\Device\Tcp
4	System	0x82256760	0x738	File	0x12019f	\Device\Tcp
4	System	0x82109ef8	0x73c	File	0x12019f	\Device\Tcp
4	System	0x82109f90	0x740	File	0x12019f	\Device\Tcp
4	System	0x8233c5b8	0x744	File	0x12019f	\Device\Tcp
4	System	0x8233c650	0x748	File	0x12019f	\Device\Tcp
4	System	0x81eadaa8	0x74c	File	0x12019f	\Device\Tcp
4	System	0x81eadb40	0x750	File	0x12019f	\Device\Tcp
4	System	0x8203e028	0x754	File	0x12019f	\Device\Tcp
4	System	0x8225ff90	0x758	File	0x12019f	\Device\Tcp
4	System	0x821722e8	0x75c	File	0x12019f	\Device\Tcp
4	System	0x82283d20	0x760	File	0x12019f	\Device\Tcp
4	System	0x82162300	0x764	File	0x12019f	\Device\Tcp
4	System	0x8239ad48	0x768	File	0x12019f	\Device\Tcp
4	System	0x81e8d8c8	0x76c	File	0x12019f	\Device\Tcp
4	System	0x823103d8	0x770	File	0x12019f	\Device\Tcp
4	System	0x81ff2920	0x774	File	0x12019f	\Device\Tcp
4	System	0x81e87d10	0x778	File	0x12019f	\Device\Tcp
4	System	0x822de4b8	0x77c	File	0x12019f	\Device\Tcp
4	System	0x821ff898	0x780	File	0x12019f	\Device\Tcp
4	System	0x82180278	0x784	File	0x12019f	\Device\Tcp
4	System	0x8222a248	0x788	File	0x12019f	\Device\Tcp
4	System	0x82039860	0x78c	File	0x12019f	\Device\Tcp
4	System	0x82170dd8	0x790	File	0x12019f	\Device\Tcp
4	System	0x82386ae0	0x794	File	0x12019f	\Device\Tcp
4	System	0x8213fdd8	0x798	File	0x12019f	\Device\Tcp
4	System	0x8209b650	0x79c	File	0x12019f	\Device\Tcp
4	System	0x823281c8	0x7a0	File	0x12019f	\Device\Tcp
4	System	0x820e4dd8	0x7a4	File	0x12019f	\Device\Tcp
4	System	0x8233eb68	0x7a8	File	0x12019f	\Device\Tcp
4	System	0x820690e0	0x7ac	File	0x12019f	\Device\Tcp
4	System	0x821a0b68	0x7b0	File	0x12019f	\Device\Tcp
4	System	0x822c50e0	0x7b4	File	0x12019f	\Device\Tcp
4	System	0x82179700	0x7b8	File	0x12019f	\Device\Tcp
4	System	0x8219d910	0x7bc	File	0x12019f	\Device\Tcp
4	System	0x82069a48	0x7c0	File	0x12019f	\Device\Tcp
4	System	0x8229ddd8	0x7c4	File	0x12019f	\Device\Tcp
4	System	0x81f0e6e8	0x7c8	File	0x0	\Device\NetBT_Tcpip_{C120F914-B400-44EC-86CE-607F580738F5}
4	System	0x8230fc00	0x7cc	File	0x12019f	\Device\Tcp
4	System	0x8225a7a0	0x7d0	File	0x12019f	\Device\Tcp
4	System	0x8233fc18	0x7d4	File	0x12019f	\Device\Tcp
4	System	0x82090168	0x7d8	File	0x12019f	\Device\Tcp
4	System	0x822c70b0	0x7dc	File	0x12019f	\Device\Tcp
4	System	0x822405d0	0x7e0	File	0x12019f	\Device\Tcp
4	System	0x822bd2f0	0x7e4	File	0x12019f	\Device\Tcp
4	System	0x82339ee8	0x7e8	File	0x12019f	\Device\NetbiosSmb
4	System	0x82174448	0x7ec	File	0x0	\Device\NetbiosSmb
4	System	0x8215a330	0x7f0	File	0x12019f	\Device\Tcp
4	System	0x8218a3a0	0x7f4	File	0x12019f	\Device\Tcp
4	System	0x823382a8	0x7f8	File	0x12019f	\Device\Tcp
4	System	0x82277d00	0x7fc	File	0x12019f	\Device\Tcp
4	System	0x82201798	0x804	File	0x12019f	\Device\Tcp
4	System	0x821da248	0x808	File	0x12019f	\Device\Tcp
4	System	0x821c05b0	0x80c	File	0x12019f	\Device\Tcp
4	System	0x822b63c0	0x810	File	0x12019f	\Device\Tcp
4	System	0x822c5a90	0x814	File	0x12019f	\Device\Tcp
4	System	0x8216c6c8	0x818	File	0x12019f	\Device\Tcp
4	System	0x822a1708	0x81c	File	0x1f01ff	\Device\Tcp
4	System	0x822b0db8	0x820	File	0x12019f	\Device\Tcp
4	System	0x81f04028	0x824	File	0x12019f	\Device\Tcp
4	System	0x8228a310	0x828	File	0x12019f	\Device\Tcp
4	System	0x821020b8	0x82c	File	0x12019f	\Device\Tcp
4	System	0x8207e490	0x830	File	0x12019f	\Device\Udp
4	System	0x821f0e48	0x834	File	0x12019f	\Device\Tcp
4	System	0x82121a58	0x838	File	0x0	\Device\NetBT_Tcpip_{C120F914-B400-44EC-86CE-607F580738F5}
4	System	0x82239a90	0x83c	File	0x12019f	\Device\Tcp
4	System	0x81f0c028	0x840	File	0x12019f	\Device\Tcp
4	System	0x82050538	0x844	File	0x12019f	\Device\Tcp
4	System	0x821928d8	0x848	File	0x12019f	\Device\Tcp
4	System	0x82139f90	0x84c	File	0x12019f	\Device\Tcp
4	System	0x822a5ed8	0x850	File	0x12019f	\Device\Tcp
4	System	0x8227f7f0	0x854	File	0x12019f	\Device\Tcp
4	System	0x822b4660	0x858	File	0x12019f	\Device\Tcp
4	System	0x821242a0	0x85c	File	0x12019f	\Device\Tcp
4	System	0x8236b6f8	0x860	File	0x12019f	\Device\Tcp
4	System	0x820c2e80	0x864	File	0x12019f	\Device\Tcp
4	System	0x82379778	0x868	File	0x12019f	\Device\Tcp
4	System	0x82149e80	0x86c	File	0x12019f	\Device\Tcp
4	System	0x8200aba0	0x870	File	0x12019f	\Device\Tcp
4	System	0x822c9c40	0x874	File	0x12019f	\Device\Tcp
4	System	0x820fe028	0x878	File	0x12019f	\Device\Tcp
4	System	0x82172af8	0x87c	File	0x12019f	\Device\Tcp
4	System	0x82159510	0x880	File	0x12019f	\Device\Tcp
4	System	0x82376e78	0x884	File	0x12019f	\Device\Tcp
4	System	0x8214c028	0x888	File	0x12019f	\Device\Tcp
4	System	0x823472f0	0x88c	File	0x12019f	\Device\Tcp
4	System	0x82242250	0x890	File	0x12019f	\Device\Tcp
4	System	0x821655c0	0x894	File	0x1200a0	\Device\Udp
4	System	0x8226f650	0x898	File	0x12019f	\Device\Tcp
4	System	0x821da378	0x89c	File	0x12019f	\Device\Tcp
4	System	0x820c4180	0x8a0	File	0x12019f	\Device\Tcp
4	System	0x82172568	0x8a4	File	0x12019f	\Device\Tcp
4	System	0x820905e0	0x8a8	File	0x12019f	\Device\NetBT_Tcpip_{C120F914-B400-44EC-86CE-607F580738F5}
4	System	0x821a09c8	0x8ac	File	0x12019f	\Device\Tcp
4	System	0x8214aad8	0x8b0	File	0x12019f	\Device\Tcp
4	System	0x81eac0f0	0x8b4	File	0x12019f	\Device\Tcp
4	System	0x8237fe60	0x8b8	File	0x12019f	\Device\Tcp
4	System	0x8211b4e0	0x8bc	File	0x12019f	\Device\Tcp
4	System	0x82284150	0x8c0	File	0x12019f	\Device\NetBT_Tcpip_{C120F914-B400-44EC-86CE-607F580738F5}
4	System	0x8223e028	0x8c4	File	0x12019f	\Device\Tcp
4	System	0x821f18a8	0x8c8	File	0x12019f	\Device\Tcp
4	System	0x8226eab8	0x8cc	File	0x12019f	\Device\Tcp
4	System	0x82116460	0x8d0	File	0x12019f	\Device\Tcp
4	System	0x823700f8	0x8d4	File	0x12019f	\Device\Tcp
4	System	0x820944e8	0x8d8	File	0x12019f	\Device\Tcp
4	System	0x82085970	0x8dc	File	0x12019f	\Device\Tcp
4	System	0x81e7e900	0x8e0	File	0x12019f	\Device\Tcp
4	System	0x8200d180	0x8e4	File	0x12019f	\Device\Tcp
4	System	0x820b9308	0x8e8	File	0x12019f	\Device\Tcp
4	System	0x82192028	0x8ec	File	0x12019f	\Device\Tcp
4	System	0x82140d98	0x8f0	File	0x12019f	\Device\Tcp
4	System	0x82115508	0x8f4	File	0x12019f	\Device\Tcp
4	System	0x8225add0	0x8f8	File	0x12019f	\Device\Tcp
4	System	0x8218b880	0x8fc	Event	0x1f0003	PrefetchTracesReady
4	System	0x81ed87b8	0x900	File	0x1200a0	\Device\Tcp
4	System	0x8211ea80	0x904	File	0x12019f	\Device\Tcp
4	System	0x8211e9e8	0x908	File	0x12019f	\Device\Tcp
4	System	0x8205bf90	0x90c	File	0x12019f	\Device\Tcp
4	System	0x8205bef8	0x910	File	0x12019f	\Device\Tcp
4	System	0x821d2aa0	0x914	File	0x12019f	\Device\Tcp
4	System	0x820acf90	0x918	File	0x12019f	\Device\Tcp
4	System	0x8233fd28	0x91c	File	0x12019f	\Device\Tcp
4	System	0x82095500	0x920	Process	0x1f03ff	spoolsv.exe Pid 1616
4	System	0xe2278f58	0x924	Directory	0xf000f	Http
4	System	0x820fb320	0x928	File	0x12019f	\Device\Tcp
4	System	0x822b5020	0x92c	Thread	0x1f03ff	Tid 2104 Pid 4
4	System	0x822b5c50	0x930	Thread	0x1f03ff	Tid 2108 Pid 4
4	System	0x822b59d8	0x934	Thread	0x1f03ff	Tid 2112 Pid 4
4	System	0x822b5760	0x938	Thread	0x1f03ff	Tid 2116 Pid 4
4	System	0x823c43c8	0x93c	Event	0x1	LowMemoryCondition
4	System	0x822b54e8	0x940	Thread	0x1f03ff	Tid 2120 Pid 4
4	System	0x8223ac70	0x944	File	0x100003	\Device\Gpc
4	System	0x8207da70	0x948	File	0x1200a0	\Device\Tcp
4	System	0xe22c4e88	0x94c	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\HTTP\PARAMETERS\URLACLINFO
4	System	0x82277b68	0x950	File	0x12019f	\Device\Tcp
4	System	0x821143a0	0x954	File	0x12019f	\Device\Tcp
4	System	0x82258250	0x958	File	0x12019f	\Device\Tcp
4	System	0x8229df90	0x95c	File	0x12019f	\Device\Tcp
4	System	0x822aee98	0x960	File	0x12019f	\Device\Tcp
4	System	0x821ec948	0x964	File	0x12019f	\Device\Tcp
4	System	0x822d7150	0x968	File	0x12019f	\Device\Tcp
4	System	0x822727a0	0x96c	File	0x12019f	\Device\Tcp
4	System	0x8227db58	0x970	File	0x12019f	\Device\Tcp
4	System	0x82109b70	0x974	File	0x12019f	\Device\Tcp
4	System	0x81e7c028	0x978	File	0x12019f	\Device\Tcp
4	System	0x8210c960	0x97c	File	0x12019f	\Device\Udp
4	System	0x82276250	0x980	File	0x12019f	\Device\Tcp
4	System	0x82243e20	0x984	File	0x12019f	\Device\Tcp
4	System	0x81ed7340	0x988	File	0x12019f	\Device\Tcp
4	System	0x82265da8	0x98c	File	0x12019f	\Device\Tcp
4	System	0x820663e8	0x990	File	0x12019f	\Device\Tcp
4	System	0x82081028	0x994	File	0x12019f	\Device\Tcp
4	System	0x82108f38	0x998	File	0x12019f	\Device\Tcp
4	System	0x8224ec68	0x99c	File	0x12019f	\Device\Tcp
4	System	0x8224dea0	0x9a0	File	0x0	\Device\NetbiosSmb
4	System	0x822b9f90	0x9a4	File	0x12019f	\Device\Tcp
4	System	0x82373450	0x9a8	File	0x12019f	\Device\Tcp
4	System	0x82069688	0x9ac	File	0x12019f	\Device\Tcp
4	System	0x8224f540	0x9b0	File	0x180	\Device\NetBT_Tcpip_{C120F914-B400-44EC-86CE-607F580738F5}
4	System	0x8207a9b0	0x9b4	File	0x12019f	\Device\Tcp
4	System	0x81eaa360	0x9b8	File	0x12019f	\Device\Tcp
4	System	0x82260b50	0x9bc	File	0x12019f	\Device\Tcp
4	System	0x820b03e8	0x9c0	File	0x12019f	\Device\Tcp
4	System	0x8203fbb8	0x9c4	File	0x12019f	\Device\Tcp
4	System	0x8214d908	0x9c8	File	0x12019f	\Device\Tcp
4	System	0x82124e90	0x9cc	File	0x12019f	\Device\Tcp
4	System	0x821ba028	0x9d0	File	0x12019f	\Device\Tcp
4	System	0x8221e278	0x9d4	Process	0x1f03ff	iscsiexe.exe Pid 1436
4	System	0x822c8798	0x9d8	Process	0x1f03ff	lsass.exe Pid 756
4	System	0x822c09f8	0x9dc	Process	0x1f03ff	winlogon.exe Pid 692
4	System	0x81e80910	0x9e0	File	0x12019f	\Device\Tcp
4	System	0x81ffff90	0x9e4	File	0x12019f	\Device\Tcp
4	System	0x820fd090	0x9e8	File	0x12019f	\Device\Tcp
4	System	0x8208abf0	0x9ec	Process	0x1f03ff	sqlservr.exe Pid 488
4	System	0x82172c48	0x9f0	File	0x12019f	\Device\Tcp
4	System	0x822407a8	0x9f4	File	0x12019f	\Device\Tcp
4	System	0x8225bb90	0x9f8	File	0x12019f	\Device\Tcp
4	System	0x8205a028	0x9fc	File	0x12019f	\Device\Tcp
4	System	0x820a7cc8	0xa00	File	0x12019f	\Device\NetBT_Tcpip_{C120F914-B400-44EC-86CE-607F580738F5}
4	System	0x82265300	0xa04	File	0x12019f	\Device\Tcp
4	System	0x821ffcb8	0xa08	File	0x12019f	\Device\Tcp
4	System	0x822a1818	0xa0c	File	0x12019f	\Device\Tcp
4	System	0x821b2020	0xa10	Process	0x1f03ff	explorer.exe Pid 1752
4	System	0x821521b0	0xa14	Process	0x1f03ff	svchost.exe Pid 1140
4	System	0x82151da0	0xa18	Process	0x1f03ff	svchost.exe Pid 1084
4	System	0x81ffcdc0	0xa1c	File	0x12019f	\Device\Tcp
4	System	0x82021458	0xa20	File	0x12019f	\Device\Tcp
4	System	0x8206fb20	0xa24	File	0x1f01ff	\Device\RawIp\255
4	System	0x82157cb8	0xa28	File	0x1f01ff	\Device\Udp
4	System	0xe20baaa0	0xa2c	Key	0x2	MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG
4	System	0x82144ce8	0xa30	File	0x12019f	\Device\Tcp
4	System	0x820cb0c8	0xa34	File	0x12019f	\Device\Tcp
4	System	0x8204a788	0xa38	File	0x1f01ff	\Device\Udp
4	System	0x81e806c8	0xa3c	File	0x1f01ff	\Device\Udp
4	System	0x81e80630	0xa40	File	0x12019f	\Device\Tcp
4	System	0x8225c320	0xa44	File	0x180	\Device\NetBT_Tcpip_{C120F914-B400-44EC-86CE-607F580738F5}
4	System	0x82251f90	0xa48	File	0x12019f	\Device\Tcp
4	System	0x822c6850	0xa4c	File	0x0	\Device\NetbiosSmb
4	System	0x822d5e80	0xa50	File	0x12019f	\Device\Tcp
4	System	0x822da578	0xa54	File	0x12019f	\Device\Tcp
4	System	0x8213d028	0xa58	File	0x12019f	\Device\Tcp
4	System	0x82144a88	0xa5c	File	0x12019f	\Device\Tcp
4	System	0x8209fe70	0xa60	File	0x12019f	\Device\Tcp
4	System	0x82228320	0xa64	File	0x12019f	\Device\Tcp
4	System	0x82060b98	0xa68	File	0x12019f	\Device\Tcp
4	System	0xe16b1400	0xa6c	Port	0x1f0001	SeRmCommandPort
4	System	0x821447c0	0xa70	File	0x12019f	\Device\Tcp
4	System	0x8236f888	0xa74	File	0x12019f	\Device\Tcp
4	System	0x8216dde8	0xa78	File	0x12019f	\Device\Tcp
4	System	0x8236fc60	0xa7c	File	0x120089	\Device\Tcp
4	System	0x820c0f90	0xa80	File	0x12019f	\Device\Tcp
4	System	0x822c8798	0xa84	Process	0x28	lsass.exe Pid 756
4	System	0x82103760	0xa88	File	0x12019f	\Device\Tcp
4	System	0x820d0898	0xa8c	Event	0x100003	LanmanServerAnnounceEvent
4	System	0x820ff650	0xa90	File	0x12019f	\Device\Tcp
4	System	0x821b1de8	0xa94	File	0x12019f	\Device\Tcp
4	System	0x821dd178	0xa98	File	0x20	\Device\PrlMiniRdr
4	System	0x820eff68	0xa9c	File	0x12019f	\Device\Tcp
4	System	0x821cda38	0xaa0	File	0x120116	\Device\Mup
4	System	0x82199db0	0xaa4	File	0x12019f	\Device\Udp
4	System	0x821c5190	0xaa8	File	0x12019f	\Device\Tcp
4	System	0x8216a2a0	0xaac	File	0x12019f	\Device\Gpc
4	System	0x821c1db0	0xab0	File	0x12019f	\Device\Tcp
4	System	0x8215f768	0xab4	File	0x12019f	\Device\Gpc
4	System	0x820ed5b0	0xab8	File	0x12019f	\Device\Tcp
4	System	0x8211ba90	0xabc	File	0x12019f	\Device\Tcp
4	System	0x821ef860	0xac0	Thread	0x1f03ff	Tid 400 Pid 4
4	System	0x822c3f90	0xac4	File	0x12019f	\Device\Tcp
4	System	0xe20cb960	0xac8	Token	0x20f01ff	
4	System	0x820d6208	0xacc	File	0x12019f	\Device\NamedPipe\
4	System	0xe214df20	0xad0	Section	0xf001f	
4	System	0xe20f6a78	0xad4	Port	0x1f0001	
4	System	0x8209cd88	0xad8	File	0x180	\Device\NetbiosSmb
4	System	0x822b6028	0xadc	File	0x12019f	\Device\NetBT_Tcpip_{C120F914-B400-44EC-86CE-607F580738F5}
4	System	0x822524b8	0xae0	File	0x12019f	\Device\Tcp
4	System	0x82180a80	0xae4	File	0x12019f	\Device\Tcp
4	System	0xe1845520	0xae8	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\VIDEO\{CA0F1563-492C-42DD-9A90-450B9DB71957}\0000\VOLATILESETTINGS
4	System	0xe16e8bd0	0xaec	Key	0xf003f	MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 1\SCSI BUS 0
4	System	0x82162c20	0xaf0	File	0x12019f	\Device\Tcp
4	System	0x821b7670	0xaf4	Thread	0x1f03ff	Tid 312 Pid 4
4	System	0x8217b480	0xaf8	File	0x12019f	\Device\Tcp
4	System	0x820fb838	0xafc	File	0x12019f	\Device\Gpc
4	System	0xe18a6a48	0xb00	Port	0x1f0001	
4	System	0x8228c4e0	0xb04	File	0x12019f	\Device\HarddiskVolume1\WINDOWS\TempFile
4	System	0x822cff00	0xb08	File	0x140003	\Device\HarddiskVolume1\pagefile.sys
4	System	0x821630f8	0xb0c	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\NetworkService\ntuser.dat.LOG
4	System	0x821ea0d0	0xb10	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY
4	System	0x82362270	0xb14	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY.LOG
4	System	0x82153d50	0xb18	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\NetworkService\NTUSER.DAT
4	System	0x822d9cf0	0xb1c	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\software
4	System	0x82137888	0xb20	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\software.LOG
4	System	0xe18a9d30	0xb24	Directory	0x4	WindowStations
4	System	0x8213edf8	0xb28	File	0x3	\Device\HarddiskVolume1\WINDOWS\system32\config\system
4	System	0x8236f4c8	0xb2c	File	0x3	\Device\HarddiskVolume1\WINDOWS\system32\config\system.LOG
4	System	0x821b7500	0xb30	Event	0x1f0003	StuckThreadEvent
4	System	0x8236b1a8	0xb34	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\default
4	System	0x8236f2d0	0xb38	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\default.LOG
4	System	0xe19f88e8	0xb3c	Key	0x2	MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG
4	System	0x8236eb38	0xb40	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\SAM
4	System	0x8236e758	0xb44	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\SAM.LOG
4	System	0x8239a2b8	0xb48	Desktop	0xf0003	Disconnect
4	System	0xe19f94c0	0xb4c	Port	0x1f0001	
4	System	0x822c8798	0xb50	Process	0x438	lsass.exe Pid 756
4	System	0x8214f3e8	0xb54	File	0x1f01ff	\Device\Tcp
4	System	0x822a4028	0xb58	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
4	System	0x821423c8	0xb5c	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
4	System	0x821256f0	0xb60	File	0x12019f	\Device\Tcp
4	System	0x82125658	0xb64	File	0x12019f	\Device\Tcp
4	System	0x82121488	0xb68	File	0x12019f	\Device\Tcp
4	System	0x8218b4e8	0xb6c	File	0x12019f	\Device\Tcp
4	System	0x82131860	0xb70	File	0x12019f	\Device\Tcp
4	System	0x8210f460	0xb74	File	0x12019f	\Device\Tcp
4	System	0x820a9c80	0xb78	File	0x12019f	\Device\Tcp
4	System	0x821407b8	0xb7c	File	0x12019f	\Device\Tcp
4	System	0x822bc080	0xb80	File	0x12019f	\Device\Tcp
4	System	0x8215e080	0xb84	File	0x12019f	\Device\Tcp
4	System	0x821c9f10	0xb88	File	0x12019f	\Device\Tcp
4	System	0x82187928	0xb8c	File	0x12019f	\Device\Tcp
4	System	0x820a6308	0xb90	File	0x12019f	\Device\Tcp
4	System	0x82155248	0xb94	File	0x12019f	\Device\Tcp
4	System	0x820dc090	0xb98	File	0x12019f	\Device\Tcp
4	System	0x82155130	0xb9c	File	0x12019f	\Device\Tcp
4	System	0x8215a028	0xba0	File	0x12019f	\Device\Tcp
4	System	0x8215a100	0xba4	File	0x12019f	\Device\Tcp
4	System	0x822a8630	0xba8	File	0x12019f	\Device\Tcp
4	System	0x821cf028	0xbac	File	0x12019f	\Device\Tcp
